E1,<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating
E2,<NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP> is added to <*> size <*>
E3,<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from /<IP>
E4,<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: /<IP> dest: /<IP>
E5,<NUM> <NUM> <NUM> INFO <*> <*> <*> <*> <*>
E6,<NUM> <NUM> <NUM> INFO dfs.FSDataset: Deleting block <*> file <*>
E7,<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: <IP> Served block <*> to /<IP>
E8,<NUM> <NUM> <NUM> WARN dfs.DataNode$DataXceiver: <IP>:Got exception while serving <*> to /<IP>:
E9,<NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* <*> <*> <*> <*> <*> <*> <*> <IP>
E10,<NUM> <NUM> <NUM> INFO dfs.DataNode: <IP> Starting thread to transfer block blk_4292382298896622412 to <IP>
E11,<NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* ask <IP> to delete <*>
E12,<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Received block <*> src: /<IP> dest: /<IP> of size <HEX>
E13,<NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* ask <IP> to delete blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_8767569714374844347 blk_7079754042611867581 blk_7608961006114219538 blk_-<HEX> blk_-<HEX> blk_7610838808763810123 blk_3300803097775546532 blk_-<HEX> blk_1577274266662884430 blk_765879159867598347 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_5677959846373741243 blk_2107477892986152528 blk_-<HEX> blk_6082535783543982566 blk_-<HEX> blk_8818706925296961012 blk_-<HEX> blk_189089569009261656 blk_446299976487589160 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_6036564204960295926 blk_-<HEX> blk_-<HEX> blk_1716344083117307767 blk_-<HEX> blk_-<HEX> blk_2920934363167004552 blk_8736689095894369097 blk_-<HEX> blk_3408482260833769309 blk_118013751374560901 blk_7963891081239759520 blk_3813114133944383323 blk_3042818489384932576 blk_-<HEX> blk_-<HEX> blk_338095650783321996 blk_3150135312641203550 blk_4285859645577726288 blk_3438772130782939627 blk_2634772258588877972 blk_-<HEX> blk_3923069610304693233 blk_-<HEX> blk_2004418049430157212 blk_1932147224007687756 blk_-<HEX> blk_5072240701440032119 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_2161580591957523893 blk_7240227881194993860 blk_-<HEX> blk_-<HEX> blk_8377661448601579317 blk_8029153852899017155 blk_-<HEX> blk_-<HEX> blk_710178463364063355 blk_-<HEX> blk_8393887138377503163 blk_-<HEX> blk_-<HEX> blk_2537458728254532453 blk_364441107933628577 blk_6207861897580168557 blk_8814943807366894581 blk_-<HEX> blk_9174833667156726933 blk_649427218152856001 blk_-<HEX> blk_-<HEX> blk_61908781908925992 blk_6385574357371832424 blk_-<HEX> blk_1372596948297458670 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_4977937528993040451 blk_5680538862600094527 blk_-<HEX> blk_425101290285860876 blk_6306622708327890839 blk_-<HEX>
E14,<NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* ask <IP> to delete blk_4029139044660806713 blk_-<HEX> blk_6708643067868168687 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_5356427838869009345 blk_-<HEX> blk_-<HEX> blk_7186692462976470823 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_6384439316405471171 blk_-<HEX> blk_118950937507976810 blk_-<HEX> blk_-<HEX> blk_1237334407720045724 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_6865645438678864855 blk_4633996820313194570 blk_7225301266481603731 blk_-<HEX> blk_-<HEX> blk_4927011145115127531 blk_7234346856930822716 blk_7159969052744592746 blk_1296823600557793869 blk_2209319141644287774 blk_-<HEX> blk_-<HEX> blk_4466433199471909449 blk_8406894133999850666 blk_991075908349619367 blk_-<HEX> blk_-<HEX> blk_2004177185950968695 blk_4041319486058127641 blk_6449230045010995668 blk_5978265573904271474 blk_-<HEX> blk_4389340532803855247 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_7112727670634942639 blk_3335012758760643328 blk_3382627815322561484 blk_825124020036421636 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_8345415947062862337 blk_8521655806854586696 blk_7602939593939794410 blk_-<HEX> blk_7237730029042141635 blk_2860897425785746911 blk_-<HEX> blk_5740615689780260922 blk_963252337613423037 blk_5537011318013544619 blk_2626057344048606017 blk_8296499240199635880 blk_7211071078501521087 blk_8823112510768971040 blk_-<HEX> blk_-<HEX> blk_7693891282153136044 blk_4644812717442758529 blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_2698691234887375588 blk_-<HEX> blk_-<HEX> blk_8879208244602324204 blk_-<HEX> blk_-<HEX> blk_5253889604362640423 blk_7067050654303940677 blk_8992626816092659826 blk_-<HEX> blk_8543991617360374935 blk_1943146154560599630 blk_-<HEX> blk_3351984198891394382 blk_-<HEX>
E15,<NUM> <NUM> <NUM> INFO dfs.FSNamesystem: BLOCK* ask <IP> to delete blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_-<HEX> blk_167132135416677587 blk_2654596473569751784 blk_5202581916713319258
